sensid;Codice;statid;subnetwork;Codice_SIRAV;type;descr;Nome breve sensore;Codice sensore;Nome;Inizio;Fine;Quota;Comune;Provincia;Acronimo;Nome stazione;Epsg3003_X;Epsg3003_Y;Epsg4258_Lat;Epsg4258_Lon
VEIM0000112WD2;VEIM0000112;Meteo_idro_ARPAV_112;Meteo_idro_ARPAV;112;DVENTO2M;Direzione vento a 2m;WD2;300000228;Rosolina - Po di Tramontana;18/02/1992;;-2;ROSOLINA (RO);RO;IM;Rosolina - Po di Tramontana;1756791.071;4996051.344;45.07114136;12.26177816
VEIM0000112TPR;VEIM0000112;Meteo_idro_ARPAV_112;Meteo_idro_ARPAV;112;PREC;Precipitazione;TPR;300000241;Rosolina - Po di Tramontana;18/02/1992;;-2;ROSOLINA (RO);RO;IM;Rosolina - Po di Tramontana;1756791.071;4996051.344;45.07114136;12.26177816
VEIM0000112RSG;VEIM0000112;Meteo_idro_ARPAV_112;Meteo_idro_ARPAV;112;RADSOL;Radiazione solare globale;RSG;300000240;Rosolina - Po di Tramontana;18/02/1992;;-2;ROSOLINA (RO);RO;IM;Rosolina - Po di Tramontana;1756791.071;4996051.344;45.07114136;12.26177816
VEIM0000112TA2;VEIM0000112;Meteo_idro_ARPAV_112;Meteo_idro_ARPAV;112;TARIA2M;Temperatura aria a 2m;TA2;300000230;Rosolina - Po di Tramontana;18/02/1992;;-2;ROSOLINA (RO);RO;IM;Rosolina - Po di Tramontana;1756791.071;4996051.344;45.07114136;12.26177816
VEIM0000112UR2;VEIM0000112;Meteo_idro_ARPAV_112;Meteo_idro_ARPAV;112;UMID2M;Umidità relativa a 2m;UR2;;Rosolina - Po di Tramontana;18/02/1992;;-2;ROSOLINA (RO);RO;IM;Rosolina - Po di Tramontana;1756791.071;4996051.344;45.07114136;12.26177816
VEIM0000112VW1;VEIM0000112;Meteo_idro_ARPAV_112;Meteo_idro_ARPAV;112;VVENTO10M;Velocità vento a 10m;VW1;;Rosolina - Po di Tramontana;18/02/1992;;-2;ROSOLINA (RO);RO;IM;Rosolina - Po di Tramontana;1756791.071;4996051.344;45.07114136;12.26177816
VEIM0000112VW2;VEIM0000112;Meteo_idro_ARPAV_112;Meteo_idro_ARPAV;112;VVENTO2M;Velocità vento a 2m;VW2;;Rosolina - Po di Tramontana;18/02/1992;;-2;ROSOLINA (RO);RO;IM;Rosolina - Po di Tramontana;1756791.071;4996051.344;45.07114136;12.26177816
VEIM0000113WD1;VEIM0000113;Meteo_idro_ARPAV_113;Meteo_idro_ARPAV;113;DVENTO10M;Direzione vento a 10m;WD1;300005227;Castelnovo Bariano;01/03/1992;;10;CASTELNOVO BARIANO (RO);RO;IM;Castelnovo Bariano;1681406.966;4988994.954;45.03101641;11.30253145
VEIM0000113WD2;VEIM0000113;Meteo_idro_ARPAV_113;Meteo_idro_ARPAV;113;DVENTO2M;Direzione vento a 2m;WD2;300000262;Castelnovo Bariano;01/03/1992;;10;CASTELNOVO BARIANO (RO);RO;IM;Castelnovo Bariano;1681406.966;4988994.954;45.03101641;11.30253145
VEIM0000113TPR;VEIM0000113;Meteo_idro_ARPAV_113;Meteo_idro_ARPAV;113;PREC;Precipitazione;TPR;300000278;Castelnovo Bariano;01/03/1992;;10;CASTELNOVO BARIANO (RO);RO;IM;Castelnovo Bariano;1681406.966;4988994.954;45.03101641;11.30253145
VEIM0000113RSG;VEIM0000113;Meteo_idro_ARPAV_113;Meteo_idro_ARPAV;113;RADSOL;Radiazione solare globale;RSG;300000277;Castelnovo Bariano;01/03/1992;;10;CASTELNOVO BARIANO (RO);RO;IM;Castelnovo Bariano;1681406.966;4988994.954;45.03101641;11.30253145
VEIM0000113TA2;VEIM0000113;Meteo_idro_ARPAV_113;Meteo_idro_ARPAV;113;TARIA2M;Temperatura aria a 2m;TA2;300000266;Castelnovo Bariano;01/03/1992;;10;CASTELNOVO BARIANO (RO);RO;IM;Castelnovo Bariano;1681406.966;4988994.954;45.03101641;11.30253145
VEIM0000113UR2;VEIM0000113;Meteo_idro_ARPAV_113;Meteo_idro_ARPAV;113;UMID2M;Umidità relativa a 2m;UR2;;Castelnovo Bariano;01/03/1992;;10;CASTELNOVO BARIANO (RO);RO;IM;Castelnovo Bariano;1681406.966;4988994.954;45.03101641;11.30253145
VEIM0000113VW1;VEIM0000113;Meteo_idro_ARPAV_113;Meteo_idro_ARPAV;113;VVENTO10M;Velocità vento a 10m;VW1;;Castelnovo Bariano;01/03/1992;;10;CASTELNOVO BARIANO (RO);RO;IM;Castelnovo Bariano;1681406.966;4988994.954;45.03101641;11.30253145
VEIM0000113VW2;VEIM0000113;Meteo_idro_ARPAV_113;Meteo_idro_ARPAV;113;VVENTO2M;Velocità vento a 2m;VW2;;Castelnovo Bariano;01/03/1992;;10;CASTELNOVO BARIANO (RO);RO;IM;Castelnovo Bariano;1681406.966;4988994.954;45.03101641;11.30253145
VEIM0000114WD2;VEIM0000114;Meteo_idro_ARPAV_114;Meteo_idro_ARPAV;114;DVENTO2M;Direzione vento a 2m;WD2;300000279;Villadose;01/03/1992;;0;VILLADOSE (RO);RO;IM;Villadose;1730059;4995063;45.07144877;11.92220596
VEIM0000114TPR;VEIM0000114;Meteo_idro_ARPAV_114;Meteo_idro_ARPAV;114;PREC;Precipitazione;TPR;300000296;Villadose;01/03/1992;;0;VILLADOSE (RO);RO;IM;Villadose;1730059;4995063;45.07144877;11.92220596
VEIM0000114RSG;VEIM0000114;Meteo_idro_ARPAV_114;Meteo_idro_ARPAV;114;RADSOL;Radiazione solare globale;RSG;300000294;Villadose;01/03/1992;;0;VILLADOSE (RO);RO;IM;Villadose;1730059;4995063;45.07144877;11.92220596
VEIM0000114TA2;VEIM0000114;Meteo_idro_ARPAV_114;Meteo_idro_ARPAV;114;TARIA2M;Temperatura aria a 2m;TA2;300000283;Villadose;01/03/1992;;0;VILLADOSE (RO);RO;IM;Villadose;1730059;4995063;45.07144877;11.92220596
VEIM0000114UR2;VEIM0000114;Meteo_idro_ARPAV_114;Meteo_idro_ARPAV;114;UMID2M;Umidità relativa a 2m;UR2;;Villadose;01/03/1992;;0;VILLADOSE (RO);RO;IM;Villadose;1730059;4995063;45.07144877;11.92220596
VEIM0000114VW2;VEIM0000114;Meteo_idro_ARPAV_114;Meteo_idro_ARPAV;114;VVENTO2M;Velocità vento a 2m;VW2;;Villadose;01/03/1992;;0;VILLADOSE (RO);RO;IM;Villadose;1730059;4995063;45.07144877;11.92220596
VEIM0000115WD1;VEIM0000115;Meteo_idro_ARPAV_115;Meteo_idro_ARPAV;115;DVENTO10M;Direzione vento a 10m;WD1;300003394;Adria - Bellombra;01/02/1992;;-1;ADRIA (RO);RO;IM;Adria - Bellombra;1737017.833;4989114.01;45.01567605;12.0076803
VEIM0000115WD2;VEIM0000115;Meteo_idro_ARPAV_115;Meteo_idro_ARPAV;115;DVENTO2M;Direzione vento a 2m;WD2;300000297;Adria - Bellombra;01/02/1992;;-1;ADRIA (RO);RO;IM;Adria - Bellombra;1737017.833;4989114.01;45.01567605;12.0076803
VEIM0000115TPR;VEIM0000115;Meteo_idro_ARPAV_115;Meteo_idro_ARPAV;115;PREC;Precipitazione;TPR;300000313;Adria - Bellombra;01/02/1992;;-1;ADRIA (RO);RO;IM;Adria - Bellombra;1737017.833;4989114.01;45.01567605;12.0076803
VEIM0000115RSG;VEIM0000115;Meteo_idro_ARPAV_115;Meteo_idro_ARPAV;115;RADSOL;Radiazione solare globale;RSG;300000312;Adria - Bellombra;01/02/1992;;-1;ADRIA (RO);RO;IM;Adria - Bellombra;1737017.833;4989114.01;45.01567605;12.0076803
VEIM0000115TA2;VEIM0000115;Meteo_idro_ARPAV_115;Meteo_idro_ARPAV;115;TARIA2M;Temperatura aria a 2m;TA2;300000301;Adria - Bellombra;01/02/1992;;-1;ADRIA (RO);RO;IM;Adria - Bellombra;1737017.833;4989114.01;45.01567605;12.0076803
VEIM0000115UR2;VEIM0000115;Meteo_idro_ARPAV_115;Meteo_idro_ARPAV;115;UMID2M;Umidità relativa a 2m;UR2;;Adria - Bellombra;01/02/1992;;-1;ADRIA (RO);RO;IM;Adria - Bellombra;1737017.833;4989114.01;45.01567605;12.0076803
VEIM0000115VW1;VEIM0000115;Meteo_idro_ARPAV_115;Meteo_idro_ARPAV;115;VVENTO10M;Velocità vento a 10m;VW1;;Adria - Bellombra;01/02/1992;;-1;ADRIA (RO);RO;IM;Adria - Bellombra;1737017.833;4989114.01;45.01567605;12.0076803
VEIM0000115VW2;VEIM0000115;Meteo_idro_ARPAV_115;Meteo_idro_ARPAV;115;VVENTO2M;Velocità vento a 2m;VW2;;Adria - Bellombra;01/02/1992;;-1;ADRIA (RO);RO;IM;Adria - Bellombra;1737017.833;4989114.01;45.01567605;12.0076803
VEIM0000116WD2;VEIM0000116;Meteo_idro_ARPAV_116;Meteo_idro_ARPAV;116;DVENTO2M;Direzione vento a 2m;WD2;300000328;Frassinelle Polesine;01/02/1992;;4;FRASSINELLE POLESINE (RO);RO;IM;Frassinelle Polesine;1711183.248;4985415.406;44.99058314;11.6786399
VEIM0000116TPR;VEIM0000116;Meteo_idro_ARPAV_116;Meteo_idro_ARPAV;116;PREC;Precipitazione;TPR;300000344;Frassinelle Polesine;01/02/1992;;4;FRASSINELLE POLESINE (RO);RO;IM;Frassinelle Polesine;1711183.248;4985415.406;44.99058314;11.6786399
VEIM0000116RSG;VEIM0000116;Meteo_idro_ARPAV_116;Meteo_idro_ARPAV;116;RADSOL;Radiazione solare globale;RSG;300000343;Frassinelle Polesine;01/02/1992;;4;FRASSINELLE POLESINE (RO);RO;IM;Frassinelle Polesine;1711183.248;4985415.406;44.99058314;11.6786399
VEIM0000116TA2;VEIM0000116;Meteo_idro_ARPAV_116;Meteo_idro_ARPAV;116;TARIA2M;Temperatura aria a 2m;TA2;300000334;Frassinelle Polesine;01/02/1992;;4;FRASSINELLE POLESINE (RO);RO;IM;Frassinelle Polesine;1711183.248;4985415.406;44.99058314;11.6786399
VEIM0000116UR2;VEIM0000116;Meteo_idro_ARPAV_116;Meteo_idro_ARPAV;116;UMID2M;Umidità relativa a 2m;UR2;;Frassinelle Polesine;01/02/1992;;4;FRASSINELLE POLESINE (RO);RO;IM;Frassinelle Polesine;1711183.248;4985415.406;44.99058314;11.6786399
VEIM0000116VW2;VEIM0000116;Meteo_idro_ARPAV_116;Meteo_idro_ARPAV;116;VVENTO2M;Velocità vento a 2m;VW2;;Frassinelle Polesine;01/02/1992;;4;FRASSINELLE POLESINE (RO);RO;IM;Frassinelle Polesine;1711183.248;4985415.406;44.99058314;11.6786399
VEIM0000117WD1;VEIM0000117;Meteo_idro_ARPAV_117;Meteo_idro_ARPAV;117;DVENTO10M;Direzione vento a 10m;WD1;300000372;Sorga';01/03/1992;;24;SORGA' (VR);VR;IM;Sorga';1657714.071;5009099.344;45.21753966;11.00830055
VEIM0000117WD2;VEIM0000117;Meteo_idro_ARPAV_117;Meteo_idro_ARPAV;117;DVENTO2M;Direzione vento a 2m;WD2;300000345;Sorga';01/03/1992;;24;SORGA' (VR);VR;IM;Sorga';1657714.071;5009099.344;45.21753966;11.00830055
VEIM0000117TPR;VEIM0000117;Meteo_idro_ARPAV_117;Meteo_idro_ARPAV;117;PREC;Precipitazione;TPR;300000364;Sorga';01/03/1992;;24;SORGA' (VR);VR;IM;Sorga';1657714.071;5009099.344;45.21753966;11.00830055
VEIM0000117RSG;VEIM0000117;Meteo_idro_ARPAV_117;Meteo_idro_ARPAV;117;RADSOL;Radiazione solare globale;RSG;300000363;Sorga';01/03/1992;;24;SORGA' (VR);VR;IM;Sorga';1657714.071;5009099.344;45.21753966;11.00830055
VEIM0000117TA2;VEIM0000117;Meteo_idro_ARPAV_117;Meteo_idro_ARPAV;117;TARIA2M;Temperatura aria a 2m;TA2;300000349;Sorga';01/03/1992;;24;SORGA' (VR);VR;IM;Sorga';1657714.071;5009099.344;45.21753966;11.00830055
VEIM0000117UR2;VEIM0000117;Meteo_idro_ARPAV_117;Meteo_idro_ARPAV;117;UMID2M;Umidità relativa a 2m;UR2;;Sorga';01/03/1992;;24;SORGA' (VR);VR;IM;Sorga';1657714.071;5009099.344;45.21753966;11.00830055
VEIM0000117VW1;VEIM0000117;Meteo_idro_ARPAV_117;Meteo_idro_ARPAV;117;VVENTO10M;Velocità vento a 10m;VW1;;Sorga';01/03/1992;;24;SORGA' (VR);VR;IM;Sorga';1657714.071;5009099.344;45.21753966;11.00830055
VEIM0000117VW2;VEIM0000117;Meteo_idro_ARPAV_117;Meteo_idro_ARPAV;117;VVENTO2M;Velocità vento a 2m;VW2;;Sorga';01/03/1992;;24;SORGA' (VR);VR;IM;Sorga';1657714.071;5009099.344;45.21753966;11.00830055
VEIM0000118WD1;VEIM0000118;Meteo_idro_ARPAV_118;Meteo_idro_ARPAV;118;DVENTO10M;Direzione vento a 10m;WD1;300000400;Bardolino - Calmasino;01/12/1991;;160;BARDOLINO (VR);VR;IM;Bardolino - Calmasino;1637949.071;5042029.344;45.51796066;10.7659099
VEIM0000118WD2;VEIM0000118;Meteo_idro_ARPAV_118;Meteo_idro_ARPAV;118;DVENTO2M;Direzione vento a 2m;WD2;300000373;Bardolino - Calmasino;01/12/1991;;160;BARDOLINO (VR);VR;IM;Bardolino - Calmasino;1637949.071;5042029.344;45.51796066;10.7659099
VEIM0000118TPR;VEIM0000118;Meteo_idro_ARPAV_118;Meteo_idro_ARPAV;118;PREC;Precipitazione;TPR;300000392;Bardolino - Calmasino;01/12/1991;;160;BARDOLINO (VR);VR;IM;Bardolino - Calmasino;1637949.071;5042029.344;45.51796066;10.7659099
VEIM0000118PRA;VEIM0000118;Meteo_idro_ARPAV_118;Meteo_idro_ARPAV;118;PRESS;Pressione atmosferica;PRA;300003062;Bardolino - Calmasino;01/12/1991;;160;BARDOLINO (VR);VR;IM;Bardolino - Calmasino;1637949.071;5042029.344;45.51796066;10.7659099
VEIM0000118RSG;VEIM0000118;Meteo_idro_ARPAV_118;Meteo_idro_ARPAV;118;RADSOL;Radiazione solare globale;RSG;300000391;Bardolino - Calmasino;01/12/1991;;160;BARDOLINO (VR);VR;IM;Bardolino - Calmasino;1637949.071;5042029.344;45.51796066;10.7659099
VEIM0000118TA2;VEIM0000118;Meteo_idro_ARPAV_118;Meteo_idro_ARPAV;118;TARIA2M;Temperatura aria a 2m;TA2;300000377;Bardolino - Calmasino;01/12/1991;;160;BARDOLINO (VR);VR;IM;Bardolino - Calmasino;1637949.071;5042029.344;45.51796066;10.7659099
VEIM0000118UR2;VEIM0000118;Meteo_idro_ARPAV_118;Meteo_idro_ARPAV;118;UMID2M;Umidità relativa a 2m;UR2;;Bardolino - Calmasino;01/12/1991;;160;BARDOLINO (VR);VR;IM;Bardolino - Calmasino;1637949.071;5042029.344;45.51796066;10.7659099
VEIM0000118VW1;VEIM0000118;Meteo_idro_ARPAV_118;Meteo_idro_ARPAV;118;VVENTO10M;Velocità vento a 10m;VW1;;Bardolino - Calmasino;01/12/1991;;160;BARDOLINO (VR);VR;IM;Bardolino - Calmasino;1637949.071;5042029.344;45.51796066;10.7659099
VEIM0000118VW2;VEIM0000118;Meteo_idro_ARPAV_118;Meteo_idro_ARPAV;118;VVENTO2M;Velocità vento a 2m;VW2;;Bardolino - Calmasino;01/12/1991;;160;BARDOLINO (VR);VR;IM;Bardolino - Calmasino;1637949.071;5042029.344;45.51796066;10.7659099
VEIM0000119WD1;VEIM0000119;Meteo_idro_ARPAV_119;Meteo_idro_ARPAV;119;DVENTO10M;Direzione vento a 10m;WD1;300000425;Roverchiara;01/11/1991;;17;ROVERCHIARA (VR);VR;IM;Roverchiara;1676635.071;5014964.344;45.2658043;11.25118706
VEIM0000119WD2;VEIM0000119;Meteo_idro_ARPAV_119;Meteo_idro_ARPAV;119;DVENTO2M;Direzione vento a 2m;WD2;300004549;Roverchiara;01/11/1991;;17;ROVERCHIARA (VR);VR;IM;Roverchiara;1676635.071;5014964.344;45.2658043;11.25118706
VEIM0000119TPR;VEIM0000119;Meteo_idro_ARPAV_119;Meteo_idro_ARPAV;119;PREC;Precipitazione;TPR;300000417;Roverchiara;01/11/1991;;17;ROVERCHIARA (VR);VR;IM;Roverchiara;1676635.071;5014964.344;45.2658043;11.25118706
VEIM0000119RSG;VEIM0000119;Meteo_idro_ARPAV_119;Meteo_idro_ARPAV;119;RADSOL;Radiazione solare globale;RSG;300000416;Roverchiara;01/11/1991;;17;ROVERCHIARA (VR);VR;IM;Roverchiara;1676635.071;5014964.344;45.2658043;11.25118706
VEIM0000119TA2;VEIM0000119;Meteo_idro_ARPAV_119;Meteo_idro_ARPAV;119;TARIA2M;Temperatura aria a 2m;TA2;300000401;Roverchiara;01/11/1991;;17;ROVERCHIARA (VR);VR;IM;Roverchiara;1676635.071;5014964.344;45.2658043;11.25118706
VEIM0000119UR2;VEIM0000119;Meteo_idro_ARPAV_119;Meteo_idro_ARPAV;119;UMID2M;Umidità relativa a 2m;UR2;;Roverchiara;01/11/1991;;17;ROVERCHIARA (VR);VR;IM;Roverchiara;1676635.071;5014964.344;45.2658043;11.25118706
VEIM0000119VW1;VEIM0000119;Meteo_idro_ARPAV_119;Meteo_idro_ARPAV;119;VVENTO10M;Velocità vento a 10m;VW1;;Roverchiara;01/11/1991;;17;ROVERCHIARA (VR);VR;IM;Roverchiara;1676635.071;5014964.344;45.2658043;11.25118706
VEIM0000119VW2;VEIM0000119;Meteo_idro_ARPAV_119;Meteo_idro_ARPAV;119;VVENTO2M;Velocità vento a 2m;VW2;;Roverchiara;01/11/1991;;17;ROVERCHIARA (VR);VR;IM;Roverchiara;1676635.071;5014964.344;45.2658043;11.25118706
VEIM0000120WD2;VEIM0000120;Meteo_idro_ARPAV_120;Meteo_idro_ARPAV;120;DVENTO2M;Direzione vento a 2m;WD2;300000426;Dolce';01/11/1991;;105;DOLCE' (VR);VR;IM;Dolce';1644210.071;5051241.484;45.59957097;10.84874997
VEIM0000120WD5;VEIM0000120;Meteo_idro_ARPAV_120;Meteo_idro_ARPAV;120;DVENTO5M;Direzione vento a 5m;WD5;300010889;Dolce';01/11/1991;;105;DOLCE' (VR);VR;IM;Dolce';1644210.071;5051241.484;45.59957097;10.84874997
VEIM0000120TPR;VEIM0000120;Meteo_idro_ARPAV_120;Meteo_idro_ARPAV;120;PREC;Precipitazione;TPR;300000442;Dolce';01/11/1991;;105;DOLCE' (VR);VR;IM;Dolce';1644210.071;5051241.484;45.59957097;10.84874997
VEIM0000120RSG;VEIM0000120;Meteo_idro_ARPAV_120;Meteo_idro_ARPAV;120;RADSOL;Radiazione solare globale;RSG;300000441;Dolce';01/11/1991;;105;DOLCE' (VR);VR;IM;Dolce';1644210.071;5051241.484;45.59957097;10.84874997
VEIM0000120TA2;VEIM0000120;Meteo_idro_ARPAV_120;Meteo_idro_ARPAV;120;TARIA2M;Temperatura aria a 2m;TA2;300000430;Dolce';01/11/1991;;105;DOLCE' (VR);VR;IM;Dolce';1644210.071;5051241.484;45.59957097;10.84874997
VEIM0000120UR2;VEIM0000120;Meteo_idro_ARPAV_120;Meteo_idro_ARPAV;120;UMID2M;Umidità relativa a 2m;UR2;;Dolce';01/11/1991;;105;DOLCE' (VR);VR;IM;Dolce';1644210.071;5051241.484;45.59957097;10.84874997
VEIM0000120VW2;VEIM0000120;Meteo_idro_ARPAV_120;Meteo_idro_ARPAV;120;VVENTO2M;Velocità vento a 2m;VW2;;Dolce';01/11/1991;;105;DOLCE' (VR);VR;IM;Dolce';1644210.071;5051241.484;45.59957097;10.84874997
VEIM0000120VW5;VEIM0000120;Meteo_idro_ARPAV_120;Meteo_idro_ARPAV;120;VVENTO5M;Velocità vento a 5m;VW5;;Dolce';01/11/1991;;105;DOLCE' (VR);VR;IM;Dolce';1644210.071;5051241.484;45.59957097;10.84874997
VEIM0000121WD2;VEIM0000121;Meteo_idro_ARPAV_121;Meteo_idro_ARPAV;121;DVENTO2M;Direzione vento a 2m;WD2;300009388;Lusia;07/07/1995;;6;LUSIA (RO);RO;IM;Lusia;1707266.166;4996611.55;45.09241907;11.63364487
VEIM0000121TPR;VEIM0000121;Meteo_idro_ARPAV_121;Meteo_idro_ARPAV;121;PREC;Precipitazione;TPR;300000457;Lusia;07/07/1995;;6;LUSIA (RO);RO;IM;Lusia;1707266.166;4996611.55;45.09241907;11.63364487
VEIM0000121TA2;VEIM0000121;Meteo_idro_ARPAV_121;Meteo_idro_ARPAV;121;TARIA2M;Temperatura aria a 2m;TA2;300000446;Lusia;07/07/1995;;6;LUSIA (RO);RO;IM;Lusia;1707266.166;4996611.55;45.09241907;11.63364487
VEIM0000121UR2;VEIM0000121;Meteo_idro_ARPAV_121;Meteo_idro_ARPAV;121;UMID2M;Umidità relativa a 2m;UR2;;Lusia;07/07/1995;;6;LUSIA (RO);RO;IM;Lusia;1707266.166;4996611.55;45.09241907;11.63364487
VEIM0000121VW2;VEIM0000121;Meteo_idro_ARPAV_121;Meteo_idro_ARPAV;121;VVENTO2M;Velocità vento a 2m;VW2;;Lusia;07/07/1995;;6;LUSIA (RO);RO;IM;Lusia;1707266.166;4996611.55;45.09241907;11.63364487
VEIM0000122WD2;VEIM0000122;Meteo_idro_ARPAV_122;Meteo_idro_ARPAV;122;DVENTO2M;Direzione vento a 2m;WD2;300009508;Trebaseleghe;11/07/1995;;23;TREBASELEGHE (PD);PD;IM;Trebaseleghe;1735991.071;5054349.344;45.60240419;12.02573694
VEIM0000122TPR;VEIM0000122;Meteo_idro_ARPAV_122;Meteo_idro_ARPAV;122;PREC;Precipitazione;TPR;300000472;Trebaseleghe;11/07/1995;;23;TREBASELEGHE (PD);PD;IM;Trebaseleghe;1735991.071;5054349.344;45.60240419;12.02573694
VEIM0000122RSG;VEIM0000122;Meteo_idro_ARPAV_122;Meteo_idro_ARPAV;122;RADSOL;Radiazione solare globale;RSG;300009648;Trebaseleghe;11/07/1995;;23;TREBASELEGHE (PD);PD;IM;Trebaseleghe;1735991.071;5054349.344;45.60240419;12.02573694
VEIM0000122TA2;VEIM0000122;Meteo_idro_ARPAV_122;Meteo_idro_ARPAV;122;TARIA2M;Temperatura aria a 2m;TA2;300000461;Trebaseleghe;11/07/1995;;23;TREBASELEGHE (PD);PD;IM;Trebaseleghe;1735991.071;5054349.344;45.60240419;12.02573694
VEIM0000122UR2;VEIM0000122;Meteo_idro_ARPAV_122;Meteo_idro_ARPAV;122;UMID2M;Umidità relativa a 2m;UR2;;Trebaseleghe;11/07/1995;;23;TREBASELEGHE (PD);PD;IM;Trebaseleghe;1735991.071;5054349.344;45.60240419;12.02573694
VEIM0000122VW2;VEIM0000122;Meteo_idro_ARPAV_122;Meteo_idro_ARPAV;122;VVENTO2M;Velocità vento a 2m;VW2;;Trebaseleghe;11/07/1995;;23;TREBASELEGHE (PD);PD;IM;Trebaseleghe;1735991.071;5054349.344;45.60240419;12.02573694
VEIM0000123WD2;VEIM0000123;Meteo_idro_ARPAV_123;Meteo_idro_ARPAV;123;DVENTO2M;Direzione vento a 2m;WD2;300000473;Arcole;01/11/1991;;27;ARCOLE (VR);VR;IM;Arcole;1679787.748;5027249.815;45.37550277;11.29582046
VEIM0000123WD5;VEIM0000123;Meteo_idro_ARPAV_123;Meteo_idro_ARPAV;123;DVENTO5M;Direzione vento a 5m;WD5;300014469;Arcole;01/11/1991;;27;ARCOLE (VR);VR;IM;Arcole;1679787.748;5027249.815;45.37550277;11.29582046
VEIM0000123TPR;VEIM0000123;Meteo_idro_ARPAV_123;Meteo_idro_ARPAV;123;PREC;Precipitazione;TPR;300000488;Arcole;01/11/1991;;27;ARCOLE (VR);VR;IM;Arcole;1679787.748;5027249.815;45.37550277;11.29582046
VEIM0000123RSG;VEIM0000123;Meteo_idro_ARPAV_123;Meteo_idro_ARPAV;123;RADSOL;Radiazione solare globale;RSG;300005130;Arcole;01/11/1991;;27;ARCOLE (VR);VR;IM;Arcole;1679787.748;5027249.815;45.37550277;11.29582046
VEIM0000123TA2;VEIM0000123;Meteo_idro_ARPAV_123;Meteo_idro_ARPAV;123;TARIA2M;Temperatura aria a 2m;TA2;300000477;Arcole;01/11/1991;;27;ARCOLE (VR);VR;IM;Arcole;1679787.748;5027249.815;45.37550277;11.29582046
VEIM0000123UR2;VEIM0000123;Meteo_idro_ARPAV_123;Meteo_idro_ARPAV;123;UMID2M;Umidità relativa a 2m;UR2;;Arcole;01/11/1991;;27;ARCOLE (VR);VR;IM;Arcole;1679787.748;5027249.815;45.37550277;11.29582046
VEIM0000123VW2;VEIM0000123;Meteo_idro_ARPAV_123;Meteo_idro_ARPAV;123;VVENTO2M;Velocità vento a 2m;VW2;;Arcole;01/11/1991;;27;ARCOLE (VR);VR;IM;Arcole;1679787.748;5027249.815;45.37550277;11.29582046
VEIM0000123VW5;VEIM0000123;Meteo_idro_ARPAV_123;Meteo_idro_ARPAV;123;VVENTO5M;Velocità vento a 5m;VW5;;Arcole;01/11/1991;;27;ARCOLE (VR);VR;IM;Arcole;1679787.748;5027249.815;45.37550277;11.29582046
VEIM0000124WD2;VEIM0000124;Meteo_idro_ARPAV_124;Meteo_idro_ARPAV;124;DVENTO2M;Direzione vento a 2m;WD2;300000493;Marano di Valpolicella;01/11/1991;;284;MARANO DI VALPOLICELLA (VR);VR;IM;Marano di Valpolicella;1650162.324;5045636.709;45.54788884;10.92332541
VEIM0000124TPR;VEIM0000124;Meteo_idro_ARPAV_124;Meteo_idro_ARPAV;124;PREC;Precipitazione;TPR;300000505;Marano di Valpolicella;01/11/1991;;284;MARANO DI VALPOLICELLA (VR);VR;IM;Marano di Valpolicella;1650162.324;5045636.709;45.54788884;10.92332541
VEIM0000124RSG;VEIM0000124;Meteo_idro_ARPAV_124;Meteo_idro_ARPAV;124;RADSOL;Radiazione solare globale;RSG;300000504;Marano di Valpolicella;01/11/1991;;284;MARANO DI VALPOLICELLA (VR);VR;IM;Marano di Valpolicella;1650162.324;5045636.709;45.54788884;10.92332541
VEIM0000124TA2;VEIM0000124;Meteo_idro_ARPAV_124;Meteo_idro_ARPAV;124;TARIA2M;Temperatura aria a 2m;TA2;300000497;Marano di Valpolicella;01/11/1991;;284;MARANO DI VALPOLICELLA (VR);VR;IM;Marano di Valpolicella;1650162.324;5045636.709;45.54788884;10.92332541
VEIM0000124UR2;VEIM0000124;Meteo_idro_ARPAV_124;Meteo_idro_ARPAV;124;UMID2M;Umidità relativa a 2m;UR2;;Marano di Valpolicella;01/11/1991;;284;MARANO DI VALPOLICELLA (VR);VR;IM;Marano di Valpolicella;1650162.324;5045636.709;45.54788884;10.92332541
VEIM0000124VW2;VEIM0000124;Meteo_idro_ARPAV_124;Meteo_idro_ARPAV;124;VVENTO2M;Velocità vento a 2m;VW2;;Marano di Valpolicella;01/11/1991;;284;MARANO DI VALPOLICELLA (VR);VR;IM;Marano di Valpolicella;1650162.324;5045636.709;45.54788884;10.92332541
VEIM0000125WD2;VEIM0000125;Meteo_idro_ARPAV_125;Meteo_idro_ARPAV;125;DVENTO2M;Direzione vento a 2m;WD2;300004879;San Pietro in Cariano;01/12/1991;;127;SAN PIETRO IN CARIANO (VR);VR;IM;San Pietro in Cariano;1647512.814;5041285.815;45.50931262;10.88807026
VEIM0000125TPR;VEIM0000125;Meteo_idro_ARPAV_125;Meteo_idro_ARPAV;125;PREC;Precipitazione;TPR;300000518;San Pietro in Cariano;01/12/1991;;127;SAN PIETRO IN CARIANO (VR);VR;IM;San Pietro in Cariano;1647512.814;5041285.815;45.50931262;10.88807026
